Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Youcef Atal,ALG,DF,Nice,Ligue 1,25,1996,12.7,26,2.05,17,0,3,1,2,3,3,0.24,2,0,0,0,1,0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,11.5,23,2.00,14,0,1,5,3,0,3,0.26,2,0,0,1,0,0
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,12.0,15,1.25,12,0,0,2,0,1,2,0.17,2,0,0,0,0,0
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,26,1994,26.6,41,1.54,32,3,2,1,1,2,2,0.08,2,0,0,0,0,0
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,24,1997,0.9,2,2.14,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,27,1994,8.8,14,1.59,8,5,0,0,0,1,1,0.11,0,1,0,0,0,0
Serge Aurier,CIV,DF,Villarreal,La Liga,28,1992,11.2,13,1.16,12,1,0,0,0,0,1,0.09,1,0,0,0,0,0
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,27,1994,20.8,37,1.78,22,4,0,3,6,2,6,0.29,3,1,0,0,1,1
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,23,1997,24.2,55,2.28,40,0,5,7,2,1,5,0.21,1,0,2,0,1,1
Ramzi Aya,ITA,DF,Salernitana,Serie A,30,1990,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,29,1991,22.4,47,2.10,31,1,1,3,8,3,6,0.27,4,0,0,0,1,1
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,26,1994,15.0,8,0.53,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luke Ayling,ENG,DF,Leeds United,Premier League,29,1991,25.2,22,0.87,16,0,0,6,0,0,3,0.12,0,0,0,3,0,0
Karim Azamoum,FRA,DF,Troyes,Ligue 1,31,1990,4.3,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sardar Azmoun,IRN,FW,Leverkusen,Bundesliga,26,1995,4.0,11,2.76,10,0,0,0,0,1,2,0.50,1,0,0,0,0,1
César Azpilicueta,ESP,DF,Chelsea,Premier League,31,1989,23.0,44,1.91,41,0,2,1,0,0,8,0.35,6,0,1,1,0,0
Iddrisu Baba,GHA,MF,Mallorca,La Liga,25,1996,21.5,18,0.84,15,0,0,2,0,1,1,0.05,1,0,0,0,0,0
Carlos Bacca,COL,FW,Granada,La Liga,34,1986,5.7,13,2.28,9,0,0,2,2,0,2,0.35,1,0,0,0,1,0
Daniel Bachmann,AUT,GK,Watford,Premier League,27,1994,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Loïc Bade,FRA,DF,Rennes,Ligue 1,21,2000,10.9,3,0.27,1,0,0,2,0,0,1,0.09,0,0,0,1,0,0
Milan Badelj,CRO,MF,Genoa,Serie A,32,1989,31.6,63,1.99,55,0,0,1,3,4,2,0.06,1,0,0,0,1,0
Édgar Badía,ESP,GK,Elche,La Liga,29,1992,24.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,20,2001,20.4,10,0.49,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Youssouph Badji,SEN,FW,Brest,Ligue 1,19,2001,1.5,3,2.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Baeza,ESP,DF,Celta Vigo,La Liga,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicola Bagnolini,ITA,GK,Bologna,Serie A,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Issa Bah,LUX,FW,Venezia,Serie A,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stéphane Bahoken,CMR,FW,Angers,Ligue 1,29,1992,12.2,14,1.15,11,0,0,1,1,1,1,0.08,1,0,0,0,0,0
Leon Bailey,JAM,FW,Aston Villa,Premier League,23,1997,8.5,21,2.48,15,1,2,1,2,0,3,0.35,2,0,1,0,0,0
Eric Bailly,CIV,DF,Manchester Utd,Premier League,27,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dénys Bain,FRA,DF,Brest,Ligue 1,28,1993,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,19,2001,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nedim Bajrami,ALB,MF,Empoli,Serie A,22,1999,22.8,98,4.29,64,20,7,4,1,2,6,0.26,5,0,0,1,0,0
Cédric Bakambu,COD,FW,Marseille,Ligue 1,30,1991,4.0,13,3.29,12,0,1,0,0,0,3,0.76,3,0,0,0,0,0
