Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Thomas Delaney,DEN,MF,Dortmund,Bundesliga,27,1991,9.2,709,37,205,451,89,9,696,4,7,57.1,4,1,439,1539,670,28,9,0,3,6,504,477,94.6,9
Paul Delecroix,FRA,GK,Metz,Ligue 1,30,1988,1.5,47,42,46,1,0,0,32,0,0,,0,0,25,169,125,0,0,0,0,0,19,19,100.0,0
Cristian Dell'Orco,ITA,DF,Lecce,Serie A,25,1994,11.2,672,64,293,295,130,7,611,4,11,36.4,5,1,403,2128,1319,36,6,2,0,10,439,421,95.9,8
Andy Delort,ALG,FW,Montpellier,Ligue 1,27,1991,25.3,1117,13,68,470,638,129,1048,28,74,37.8,31,2,729,3065,1617,93,24,23,78,37,1344,837,62.3,311
Fabian Delph,ENG,MF,Everton,Premier League,29,1989,13.2,895,32,231,584,147,1,882,20,24,83.3,20,0,620,3010,1356,54,26,0,10,9,635,613,96.5,9
Moussa Dembélé,FRA,FW,Lyon,Ligue 1,23,1996,24.3,807,32,76,357,421,129,781,23,50,46.0,29,0,547,2040,1055,54,15,14,80,77,1091,618,56.6,216
Ousmane Dembélé,FRA,FW,Barcelona,La Liga,22,1997,4.0,310,1,19,110,213,23,286,16,31,51.6,17,0,259,1406,843,68,14,10,12,7,307,257,83.7,29
Merih Demiral,TUR,DF,Juventus,Serie A,21,1998,4.6,358,51,184,181,11,4,356,0,1,0.0,0,0,237,1255,536,4,0,0,0,0,270,266,98.5,4
Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,26,1993,17.5,1410,23,227,853,424,34,1260,35,44,79.5,36,1,959,5025,2323,115,36,4,21,26,1065,974,91.5,49
Diego Demme,GER,MF,Napoli,Serie A,27,1991,10.0,850,36,193,524,195,7,835,3,4,75.0,3,0,638,3003,1355,67,22,2,4,10,717,695,96.9,16
